From	To	Species	Gene Name
Q7Z726	KPNA2	Homo sapiens	karyopherin alpha 2 (RAG cohort 1, importin alpha 1); karyopherin alpha-2 subunit like
Q9HC39	GEMIN4	Homo sapiens	gem (nuclear organelle) associated protein 4
Q567Q0	PPIAL3	Homo sapiens	similar to TRIMCyp; peptidylprolyl isomerase A (cyclophilin A); peptidylprolyl isomerase A (cyclophilin A)-like 3
Q567Q0	ppiA	Homo sapiens	similar to TRIMCyp; peptidylprolyl isomerase A (cyclophilin A); peptidylprolyl isomerase A (cyclophilin A)-like 3
Q567Q0	LOC439953	Homo sapiens	similar to TRIMCyp; peptidylprolyl isomerase A (cyclophilin A); peptidylprolyl isomerase A (cyclophilin A)-like 3
O00422	SAP18	Homo sapiens	Sin3A-associated protein, 18kDa
Q58FF8	HSP90AB2P	Homo sapiens	heat shock protein 90kDa alpha (cytosolic), class B member 2 (pseudogene)
Q7Z474	Psma4	Homo sapiens	proteasome (prosome, macropain) subunit, alpha type, 4
Q59F66	DDX17	Homo sapiens	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
Q58FF7	HSP90AB3P	Homo sapiens	heat shock protein 90kDa alpha (cytosolic), class B member 3 (pseudogene)
Q58FF6	HSP90AB4P	Homo sapiens	heat shock protein 90kDa alpha (cytosolic), class B member 4 (pseudogene)
Q9BYH9	Serpinb3	Homo sapiens	serpin peptidase inhibitor, clade B (ovalbumin), member 3
Q9UDI5	wars	Homo sapiens	tryptophanyl-tRNA synthetase
Q6FIG4	RAB1B	Homo sapiens	RAB1B, member RAS oncogene family
B3KSI4	tkt	Homo sapiens	transketolase
B4DYS4	OTUD4	Homo sapiens	OTU domain containing 4
Q6QE17	Impdh2	Homo sapiens	IMP (inosine monophosphate) dehydrogenase 2
Q6LCB5	gnai2	Homo sapiens	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
Q6LCU2	Rpl27	Homo sapiens	ribosomal protein L27
Q5JNZ5	RPS26P11	Homo sapiens	ribosomal protein S26 pseudogene 11
B3KX11	Cct3	Homo sapiens	chaperonin containing TCP1, subunit 3 (gamma)
Q0VAC0	LOC644037	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1-like 3; similar to heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene 2; heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene
Q0VAC0	LOC645691	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1-like 3; similar to heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene 2; heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene
Q0VAC0	HNRPA1L-2	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1-like 3; similar to heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene 2; heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene
Q0VAC0	LOC728643	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1-like 3; similar to heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene 2; heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene
Q0VAC0	HNRNPA1P2	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1-like 3; similar to heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene 2; heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene
Q0VAC0	HNRNPA1	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1-like 3; similar to heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene 2; heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene
Q0VAC0	HNRPA1L3	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1-like 3; similar to heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene 2; heterogeneous nuclear ribonucleoprotein A1; heterogeneous nuclear ribonucleoprotein A1 pseudogene
Q6ZU70	LOC149837	Homo sapiens	hypothetical protein LOC643406; hypothetical LOC149837
Q6ZU70	LOC643406	Homo sapiens	hypothetical protein LOC643406; hypothetical LOC149837
Q8N9C4	ACLY	Homo sapiens	ATP citrate lyase
Q8IX02	LTF	Homo sapiens	lactotransferrin
Q9UN81	LOC440264	Homo sapiens	hypothetical LOC440264
Q5RI19	Hnrnpu	Homo sapiens	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
Q75MN1	Gars	Homo sapiens	glycyl-tRNA synthetase
Q9NVE7	PANK4	Homo sapiens	pantothenate kinase 4
Q8NHW5	RPLP0P6	Homo sapiens	ribosomal protein, large, P0 pseudogene 2; ribosomal protein, large, P0 pseudogene 3; ribosomal protein, large, P0 pseudogene 6; ribosomal protein, large, P0
Q8NHW5	RPLP0P2	Homo sapiens	ribosomal protein, large, P0 pseudogene 2; ribosomal protein, large, P0 pseudogene 3; ribosomal protein, large, P0 pseudogene 6; ribosomal protein, large, P0
Q8NHW5	RPLP0P3	Homo sapiens	ribosomal protein, large, P0 pseudogene 2; ribosomal protein, large, P0 pseudogene 3; ribosomal protein, large, P0 pseudogene 6; ribosomal protein, large, P0
Q8NHW5	rplP0	Homo sapiens	ribosomal protein, large, P0 pseudogene 2; ribosomal protein, large, P0 pseudogene 3; ribosomal protein, large, P0 pseudogene 6; ribosomal protein, large, P0
Q9NQ39	RPS10P5	Homo sapiens	ribosomal protein S10 pseudogene 5
Q7Z524	atxn10	Homo sapiens	ataxin 10
Q13707	acta2	Homo sapiens	actin, alpha 2, smooth muscle, aorta
P62333	Psmc6	Homo sapiens	proteasome (prosome, macropain) 26S subunit, ATPase, 6
P78344	EIF4G2	Homo sapiens	eukaryotic translation initiation factor 4 gamma, 2
Q658S9	TXNDC5	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
Q658S9	MUTED	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)

